"id","booking_id","booking_unit_details_id","entity_type","partner_id","defective_return_to_entity_type","defective_return_to_entity_id","service_center_id","status","old_status","parts_requested","parts_requested_type","model_number","serial_number","date_of_purchase","date_of_request","model_number_shipped","parts_shipped","shipped_parts_type","shipped_date","purchase_price","sell_price","reverse_sale_invoice_id","reverse_purchase_invoice_id","invoice_gst_rate","purchase_invoice_id","sell_invoice_id","estimate_cost_given_date","invoice_pic","incoming_invoice_pdf","acknowledge_date","auto_acknowledeged","defective_part_shipped","defective_parts_pic","defective_back_parts_pic","serial_number_pic","create_date","update_date","remarks_by_sc","remarks_by_partner","courier_name_by_partner","awb_by_partner","courier_price_by_partner","courier_pic_by_partner","defective_part_shipped_date","defactive_part_received_date_by_courier_api","received_defective_part_date","awb_by_sf","courier_name_by_sf","courier_charges_by_sf","defective_courier_receipt","remarks_defective_part_by_sf","remarks_defective_part_by_partner","defective_part_required","approved_defective_parts_by_partner","approved_defective_parts_by_admin","edd","partner_challan_number","sf_challan_number","partner_challan_file","sf_challan_file","challan_approx_value","spare_cancelled_date","spare_cancellation_reason","nrn_approv_by_partner","awb_by_wh","courier_name_by_wh","courier_price_by_wh","defective_parts_shippped_date_by_wh","defective_parts_shippped_courier_pic_by_wh","warehouse_courier_invoice_id","partner_warehouse_courier_invoice_id","partner_courier_invoice_id","vendor_courier_invoice_id","partner_warehouse_packaging_invoice_id","requested_inventory_id","original_inventory_id","wh_ack_received_part","around_pickup_from_partner","around_pickup_from_service_center","around_pickup_courier","received_defective_part_date_from_wh","is_micro_wh","spare_lost","shipped_inventory_id","inventory_invoice_on_booking","part_warranty_status","part_requested_on_approval","defective_part_rejected_by_partner","spare_request_symptom","quantity","shipped_quantity"
"48777","LP-4397821906101",NULL,"vendor","868","vendor","15","868","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","REF VC323PTBGM-FDB","980415260112700327","2015-06-20","2019-06-11","REF VC323PTBGM-FDB","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","2019-06-11","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic5052LP-4397821906101.jpg",NULL,"2019-06-13","1","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","defective_parts1948LP-4397821906101.jpg","defective_back_parts_pic2985LP-4397821906101.jpg","serial_number_pic639LP-4397821906101.jpg","2019-06-11 19:03:31","2019-08-13 16:07:36","COMPRESSER PENDING",NULL,NULL,NULL,NULL,NULL,"2019-08-05",NULL,"2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0023",NULL,"delivery_challan_LP-4397821906101_78_23_Jun_2019_14_53_30.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","11490","1","0","2","gati-kwe",NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"50025","LP-4410331906111",NULL,"vendor","868","vendor","15","868","Cancelled","Spare Parts Requested","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","REF VU201EBR-FDK","210818860191908353","2018-09-27","2019-06-13",NULL,NULL,,NULL,"0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic4614LP-4410331906111.jpg",NULL,NULL,"0",NULL,"defective_parts2841LP-4410331906111.jpg","defective_back_parts_pic4092LP-4410331906111.jpg","serial_number_pic4085LP-4410331906111.jpg","2019-06-13 20:06:06","2019-08-13 10:05:23","COMPRESSER REPLACE SET OK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","0","0",NULL,NULL,NULL,NULL,NULL,"2326.00","2019-06-14 11:05:33",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11490","11490","1","0","0",NULL,NULL,"2",NULL,NULL,"0","1","0","0",NULL,"1","1"
"50311","LP-4410331906111",NULL,"vendor","868","vendor","15","868","Defective parts send by warehouse to partner","Defective Part Received By Partner","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","REF VU201EBR-FDK","210818860191908353","2018-09-27","2019-06-14","REF VU201EBR-FDK","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","2019-06-14","0.00","0.00",NULL,"ARD-9-1920-0130","18",NULL,NULL,NULL,"invoice_pic9579LP-4410331906111.jpg",NULL,"2019-06-17","1","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","defective_parts8447LP-4410331906111.jpg","defective_back_parts_pic48LP-4410331906111.jpg","serial_number_pic6468LP-4410331906111.jpg","2019-06-14 11:39:11","2019-08-13 15:24:25","COMPRESSER REPLACE SET OK",NULL,NULL,NULL,NULL,NULL,"2019-08-05",NULL,"2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0043",NULL,"delivery_challan_LP-4410331906111_17_28_Jul_2019_17_20_08.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","11490","1","0","2","gati-kwe",NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"50788","LP-4315921906102",NULL,"vendor","868","vendor","15","868","Completed","Defective Part Received By Partner","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","REF VU203EBR-FDK","210916860176035498","2017-02-12","2019-06-14","REF VU203EBR-FDK","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","2019-06-14","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic8858LP-4315921906102.jpg",NULL,"2019-06-17","1","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","defective_parts7869LP-4315921906102.jpg","defective_back_parts_pic6414LP-4315921906102.jpg","serial_number_pic7192LP-4315921906102.jpg","2019-06-14 19:39:11","2019-08-13 16:06:54","COMPRESSER REPLACE SET OK",NULL,NULL,NULL,NULL,NULL,"2019-08-05",NULL,"2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0017",NULL,"delivery_challan_LP-4315921906102_76_17_Jun_2019_18_54_19.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","11490","1","0","2","gati-kwe",NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"51090","LP-4460601906151",NULL,"vendor","676","vendor","15","676","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACC,TH840JF-095-CA6","COMP","REF VU202ESG-FDK","210217860190100902","2018-08-15","2019-06-15","REF VU202ESG-FDK","COMPRESSOR,WITH ACC,TH840JF-095-CA6","COMP","2019-06-15","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic734LP-4460601906151.jpg",NULL,"2019-06-17","1","COMPRESSOR,WITH ACC,TH840JF-095-CA6","defective_parts7663LP-4460601906151.jpeg","defective_back_parts_pic1808LP-4460601906151.jpeg","serial_number_pic1899LP-4460601906151.jpeg","2019-06-15 14:14:58","2019-08-17 16:11:31","PEN FOR COMPRASSOR",NULL,NULL,NULL,NULL,NULL,"2019-08-03","2019-08-08 18:02:26","2019-08-13","311942751","gati-kwe","0","defective_courier_receipt4888LP-2538521907105.jpg","26 item in 9 box","Defective Part Received By Partner","1","1","1",NULL,NULL,"MIAJRE-DC-0077",NULL,"delivery_challan_LP-4460601906151_78_13_Jul_2019_16_46_45.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","11196","1","1","2","gati-kwe",NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"56481","LP-4509491906181",NULL,"vendor","694","vendor","15","694","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","REF VU201EBR-FDK","210917860191938750","2018-06-23","2019-06-24","REF VU201EBR-FDK","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP",NULL,"0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic5704LP-4509491906181.jpeg",NULL,NULL,"1","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","defective_parts453LP-4509491906181.jpeg","defective_back_parts_pic3245LP-4509491906181.jpeg","serial_number_pic8241LP-4509491906181.jpeg","2019-06-24 01:24:11","2019-08-13 16:58:21","compasur hi amp",NULL,NULL,NULL,NULL,NULL,"2019-08-12",NULL,"2019-08-13","MissingDKTGati(Upadte by 247)","gati-kwe","0","defective_courier_receipt8194LP-4166371905251.jpeg","ok","Defective Part Received By Partner","1","1","1",NULL,NULL,"EVUUMD-DC-0063",NULL,"delivery_challan_LP-4509491906181_67_05_Jul_2019_23_32_22.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","10418","1","0","0",NULL,NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"57408","LP-4588101906252",NULL,"vendor","868","vendor","15","868","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","REF VE183MSH-FDS","390416860172304639","2017-10-11","2019-06-25","REF VE183MSH-FDS","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP",NULL,"0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic7665LP-4588101906252.jpg",NULL,NULL,"1","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","defective_parts6048LP-4588101906252.jpg","defective_back_parts_pic8330LP-4588101906252.jpg","serial_number_pic2315LP-4588101906252.jpg","2019-06-25 15:28:03","2019-08-13 16:09:20","COMPRESSER REPLACE SET OK",NULL,NULL,NULL,NULL,NULL,"2019-08-05",NULL,"2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0028",NULL,"delivery_challan_LP-4588101906252_100_30_Jun_2019_09_45_13.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","10418","1","0","2","gati-kwe",NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"58525","LP-4606871906271",NULL,"vendor","868","vendor","15","868","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","REF VU203EBR-FDK","210916860176035641","2016-10-30","2019-06-27","REF VU203EBR-FDK","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","2019-06-27","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic3761LP-4606871906271.jpg",NULL,"2019-06-28","1","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","defective_parts1761LP-4606871906271.jpg","defective_back_parts_pic5898LP-4606871906271.jpg","serial_number_pic5856LP-4606871906271.jpg","2019-06-27 12:10:39","2019-08-14 12:20:57","COMPRESSER PENDING",NULL,NULL,NULL,NULL,NULL,"2019-08-05",NULL,"2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0025",NULL,"delivery_challan_LP-4606871906271_94_29_Jun_2019_16_08_00.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","10418","1","0","2","gati-kwe",NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"59652","LP-4569631906241",NULL,"vendor","694","vendor","15","694","Completed","Defective Part Received By Partner","COMPRESSOR,WIT ACCESSORIES TH840JH-092-A","COMP","REF VF233LTBE-FDS","390215260105500876","2015-04-20","2019-06-28","REF VF233LTBE-FDS","COMPRESSOR,WIT ACCESSORIES TH840JH-092-A","COMP","2019-06-28","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic2584LP-4569631906241.jpeg",NULL,"2019-06-29","1","COMPRESSOR,WIT ACCESSORIES TH840JH-092-A","defective_parts5452LP-4569631906241.jpeg","defective_back_parts_pic9080LP-4569631906241.jpeg","serial_number_pic8340LP-4569631906241.jpeg","2019-06-28 23:14:44","2019-08-17 16:11:15","compasur hi amp",NULL,NULL,NULL,NULL,NULL,"2019-08-12",NULL,"2019-08-13","MissingDKTGati(Upadte by 247)","gati-kwe","0","defective_courier_receipt8194LP-4166371905251.jpeg","ok","Defective Part Received By Partner","1","1","1",NULL,NULL,"EVUUMD-DC-0071",NULL,"delivery_challan_LP-4569631906241_92_19_Jul_2019_00_45_01.pdf","739.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"9825","9825","1","1","0",NULL,NULL,"2",NULL,"9825","0","1","1","0",NULL,"1","1"
"60276","LP-4635511906291",NULL,"vendor","694","vendor","15","694","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","REF VF233PTUR-FDS","390516860179600354","2016-06-15","2019-06-30","REF VF233PTUR-FDS","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","COMP","2019-06-30","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,NULL,NULL,"2019-07-02","1","COMPRESSOR,WITH ACCESSORIES LG-MA42LPJG","defective_parts60LP-4635511906291.jpeg","defective_back_parts_pic4149LP-4635511906291.jpeg","serial_number_pic2806LP-4635511906291.jpeg","2019-06-30 07:14:01","2019-08-14 10:33:47","compasur hi amp",NULL,NULL,NULL,NULL,NULL,"2019-08-12",NULL,"2019-08-13","MissingDKTGati(Upadte by 247)","gati-kwe","0","defective_courier_receipt8194LP-4166371905251.jpeg","ok","Defective Part Received By Partner","1","1","1",NULL,NULL,"EVUUMD-DC-0068",NULL,"delivery_challan_LP-4635511906291_92_07_Jul_2019_00_09_47.pdf","2326.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10418","10418","1","0","0",NULL,NULL,"2",NULL,"10418","0","1","1","0",NULL,"1","1"
"60857","LP-4636611906301",NULL,"vendor","868","vendor","15","868","Completed","Defective Part Received By Partner","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","REF VU201EBR-FDK","211118860149813258","2018-11-15","2019-07-01","REF VU201EBR-FDK","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","2019-07-01","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic8205LP-4636611906301.PNG",NULL,"2019-07-03","1","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","defective_parts8342LP-4636611906301.jpg","defective_back_parts_pic832LP-4636611906301.jpg","serial_number_pic4827LP-4636611906301.jpg","2019-07-01 18:22:06","2019-08-17 16:58:45","COMPRESSER PENDING",NULL,NULL,NULL,NULL,NULL,"2019-08-05","2019-08-12 19:02:46","2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0029",NULL,"delivery_challan_LP-4636611906301_41_03_Jul_2019_19_45_52.pdf","2901.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11490","11490","1","0","2","gati-kwe",NULL,"2",NULL,"11490","0","1","1","0",NULL,"1","1"
"62043","LP-4657871907021",NULL,"vendor","868","vendor","15","868","Completed","Defective Part Received By Partner","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","REF VU201PTRO-FDK","210518860147100753","2019-06-21","2019-07-03","REF VU201PTRO-FDK","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","COMP","2019-07-03","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic8816LP-4657871907021.jpg",NULL,"2019-07-04","1","COMPRESSOR,PZ59E1D-9,WO CAPACITOR R600A","defective_parts9011LP-4657871907021.jpg","defective_back_parts_pic7742LP-4657871907021.jpg","serial_number_pic7852LP-4657871907021.jpg","2019-07-03 19:34:24","2019-08-13 16:27:46","COMPRESSER REPLACE SET OK",NULL,NULL,NULL,NULL,NULL,"2019-08-05","2019-08-10 11:02:56","2019-08-13","253636077","gati-kwe","0","defective_courier_receipt8130LP-2031501906075.jpg","SEND BY PATNER GATI COURIER TOTTEL BOX 33","Defective Part Received By Partner","1","1","1",NULL,NULL,"MRHPJW-DC-0046",NULL,"delivery_challan_LP-4657871907021_99_30_Jul_2019_16_25_52.pdf","2901.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11490","11490","1","0","2","gati-kwe",NULL,"2",NULL,"11490","0","1","1","0",NULL,"1","1"
"69925","LP-4789771907151",NULL,"vendor","342","vendor","15","342","Completed","Defective Part Received By Partner","COMPRESSOR,WITH ACCESR,ETB86KL,WANBAO","COMP","REF VU201PTDR-FDK","210218860147800339","2018-03-05","2019-07-17","REF VU201PTDR-FDK","COMPRESSOR,WITH ACCESR,ETB86KL,WANBAO","COMP","2019-07-17","0.00","0.00",NULL,NULL,"18",NULL,NULL,NULL,"invoice_pic7590LP-4789771907151.jpg",NULL,"2019-07-18","1","COMPRESSOR,WITH ACCESR,ETB86KL,WANBAO","defective_parts1541LP-4789771907151.jpg","defective_back_parts_pic1674LP-4789771907151.jpg","serial_number_pic7266LP-4789771907151.jpg","2019-07-17 12:53:27","2019-08-13 16:12:48","COMP DEFECTIVE 
COMP PENDING",NULL,NULL,NULL,NULL,NULL,"2019-08-02",NULL,"2019-08-13","327313699","gati-kwe","0","defective_courier_receipt9012LP-3923141905081.jpg","total 9 boxes 
compressor send for courier","Defective Part Received By Partner","1","1","1",NULL,NULL,"RKHLMT-DC-0203",NULL,"delivery_challan_LP-4789771907151_98_20_Jul_2019_12_34_41.pdf","739.00",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11162","11480","1","0","0",NULL,NULL,"2",NULL,"11162","0","1","1","0",NULL,"1","1"
